,mean_max_cred_amount,sum_curr_balance,max_cred_lim,mean_worst_del,max_worst_del,mean_num_paymnts_due,mean_past_due_balnce,mean_worst_past_due_balnce,late_0_30,late_31_60,late_61_90,late_91_120,late_121_150,late_151_worst,num_open_cred_lines_and_loans,number_times_past_due,delinq_per_line,number_mortgages,number_revolvs,income,outcome,ratio,clase
0,63081.26666666667,1202237.0,513069.0,0.3333333333333333,4.0,0.7666666666666667,144.73333333333332,177.46666666666667,29.0,0.0,0.0,0.0,0.0,1.0,30,7.0,0.23333333333333334,0.0,8.0,255359,151439,1.686216892610226,1
1,43510.125,638283.0,247552.0,15.0,73.0,17.875,18260.375,5298.0,5.0,0.0,0.0,0.0,0.0,3.0,8,3.0,0.375,1.0,1.0,8940,789,11.330798479087452,0
2,3817.375,20304.0,1475.0,0.5,2.0,2.5,28.75,58.625,6.0,0.0,2.0,0.0,0.0,0.0,8,2.0,0.25,0.0,0.0,11436,3316,3.448733413751508,0
3,22892.5,29640.0,25000.0,0.0,0.0,0.0,7175.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,17143,47547,0.3605485098954718,1
4,15016.0,0.0,48000.0,0.0,0.0,0.0,3081.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,6.0,26990,15585,1.7317933910811678,1
5,13446.941176470587,234226.0,141384.0,6.588235294117647,84.0,12.470588235294118,1404.8823529411766,708.0588235294117,13.0,1.0,0.0,0.0,0.0,3.0,17,4.0,0.23529411764705882,1.0,2.0,166,5240,0.0316793893129771,0
6,59408.8125,211347.0,72000.0,0.0,0.0,0.0,968.6875,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,9.0,111662,108374,1.0303393802941665,1
7,75124.90909090909,654058.0,215705.0,0.7272727272727273,8.0,1.3636363636363635,23926.81818181818,287.72727272727275,10.0,0.0,0.0,1.0,0.0,0.0,11,1.0,0.09090909090909091,0.0,2.0,6271,44469,0.1410195866783602,1
8,2146.8,12325.0,7203.0,10.6,14.0,5.2,2465.0,1967.0,2.0,0.0,0.0,0.0,1.0,2.0,5,3.0,0.6,0.0,0.0,31695,3021,10.491559086395233,0
9,9263.6,51873.0,15906.0,2.9,13.0,11.4,7141.6,2610.7,2.0,0.0,0.0,1.0,0.0,7.0,10,8.0,0.8,0.0,3.0,2401260,6496313,0.36963428332347903,0
10,27178.875,301930.0,356115.0,0.8125,13.0,0.4375,0.0,157.6875,15.0,0.0,0.0,0.0,0.0,1.0,16,1.0,0.0625,0.0,4.0,22972,81561,0.28165422199335466,1
11,51870.90909090909,338746.0,216600.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,6.0,57502,135432,0.42458207809085,1
12,8459.333333333334,1328.0,19000.0,0.1111111111111111,1.0,0.7777777777777778,0.0,12.222222222222221,8.0,0.0,0.0,0.0,0.0,1.0,9,2.0,0.2222222222222222,0.0,3.0,22811,2830,8.060424028268551,1
13,75434.42307692308,542369.0,184165.0,0.038461538461538464,1.0,2.0384615384615383,2389.153846153846,42.0,16.0,2.0,2.0,1.0,1.0,4.0,26,13.0,0.5,1.0,7.0,5917,45181,0.1309621300989354,1
14,19420.5,151675.0,39900.0,1.625,13.0,3.0,17287.375,4692.125,7.0,0.0,0.0,0.0,0.0,1.0,8,1.0,0.125,0.0,7.0,218985,96068,2.279479118957405,0
15,5985.857142857143,14027.0,10000.0,7.428571428571429,13.0,11.857142857142858,1534.0,3049.5714285714284,1.0,0.0,0.0,0.0,0.0,6.0,7,7.0,1.0,0.0,0.0,250,822,0.30413625304136255,0
